query,intent,language
Anjali ko ₹500 bhejo,fund_transfer,English
Credit card par kitna paisa mil sakta hai?,credit_limit_inquiry,Hinglish
Amount transfer karna hai,fund_transfer,Hinglish
FD withdraw ka process kya hai?,fd_withdrawal,Hinglish
Raise a complaint about wrong balance,complaint_registration,English
Amount send karna hai,fund_transfer,Hinglish
How to check my account balance?,balance_inquiry,English
Account history show karo,transaction_history,Hinglish
How to view transaction history?,transaction_history,English
Pichli 10 transactions dikhao,transaction_history,Hinglish
Balance dekhao,balance_inquiry,English
रमेश को ₹2000 भेजो,fund_transfer,Hindi
Bill ki payment karo,bill_payment,Hinglish
Limit inquiry,credit_limit_inquiry,English
Phone bill jama karo,bill_payment,Hinglish
Make a payment to Shreya,fund_transfer,English
Bill jama karna hai,bill_payment,Hinglish
Rent ki payment karo,bill_payment,Hinglish
बचत खाते में कितना पैसा है?,balance_inquiry,Hindi
Account ki pichli transactions,transaction_history,English
मुझे ₹2000 अपने खाते में ट्रांसफर करना है,fund_transfer,Hindi
Mera loan kitna hai?,loan_inquiry,Hinglish
Account mein balance kitna hai?,balance_inquiry,Hinglish
Pay water bill,bill_payment,English
Wrong balance complaint karni hai,complaint_registration,Hinglish
Available balance batao,balance_inquiry,Hinglish
Withdraw funds from fixed deposit,fd_withdrawal,English
Pay phone bill,bill_payment,English
Galat balance ki complaint karo,complaint_registration,Hinglish
Complaint form bharna hai,complaint_registration,Hinglish
Card limit kitna hai,credit_limit_inquiry,Hinglish
Account transfer chahiye,fund_transfer,English
Show monthly statement,transaction_history,English
Pay internet bill,bill_payment,English
I want FD amount back,fd_withdrawal,English
Complain about unauthorized transaction,complaint_registration,English
How much money do I have?,balance_inquiry,English
Show my credit card limit,credit_limit_inquiry,English
Loan amount batao,loan_inquiry,Hinglish
Pay my electricity bill,bill_payment,English
Balance kaise pata chalega?,balance_inquiry,Hinglish
बैलेंस बताओ,balance_inquiry,Hindi
Gas bill payment chahiye,bill_payment,English
